filename,actual,predicted,confidence,correct
patch_10_10.tif,field,field,89.42%,True
patch_10_11.tif,field,field,85.09%,True
patch_10_12.tif,field,field,91.54%,True
patch_10_13.tif,field,field,92.83%,True
patch_10_14.tif,field,field,80.45%,True
patch_10_15.tif,field,field,93.66%,True
patch_10_16.tif,field,field,87.73%,True
patch_10_17.tif,field,field,88.94%,True
patch_10_18.tif,field,field,75.89%,True
patch_10_19.tif,field,field,67.29%,True
patch_10_20.tif,field,field,92.70%,True
patch_10_21.tif,field,field,79.00%,True
patch_10_22.tif,field,field,56.48%,True
patch_10_23.tif,field,field,62.12%,True
patch_10_24.tif,field,field,80.26%,True
patch_10_25.tif,field,field,85.56%,True
patch_10_26.tif,field,non_field,56.99%,False
patch_10_27.tif,field,field,52.60%,True
patch_10_28.tif,field,field,56.10%,True
patch_10_29.tif,field,non_field,77.94%,False
patch_10_3.tif,field,non_field,96.09%,False
patch_10_30.tif,field,field,79.68%,True
patch_10_31.tif,field,field,72.14%,True
patch_10_32.tif,field,field,81.78%,True
patch_10_33.tif,field,field,82.64%,True
patch_10_34.tif,field,field,77.30%,True
patch_10_35.tif,field,field,86.73%,True
patch_10_36.tif,field,non_field,58.04%,False
patch_10_37.tif,field,field,71.80%,True
patch_10_38.tif,field,field,98.35%,True
patch_10_39.tif,field,field,99.72%,True
patch_10_40.tif,field,field,84.99%,True
patch_10_41.tif,field,field,60.28%,True
patch_10_42.tif,field,field,54.10%,True
patch_10_43.tif,field,field,67.25%,True
patch_10_44.tif,field,field,66.94%,True
patch_10_45.tif,field,field,70.92%,True
patch_10_46.tif,field,non_field,65.66%,False
patch_10_47.tif,field,non_field,69.26%,False
patch_10_48.tif,field,non_field,71.43%,False
patch_10_49.tif,field,non_field,82.09%,False
patch_10_50.tif,field,field,51.41%,True
patch_10_51.tif,field,field,59.66%,True
patch_10_9.tif,field,field,85.57%,True
patch_11_10.tif,field,field,92.42%,True
patch_11_11.tif,field,field,92.94%,True
patch_11_12.tif,field,field,93.78%,True
patch_11_13.tif,field,field,82.23%,True
patch_11_14.tif,field,field,91.43%,True
patch_11_15.tif,field,field,97.27%,True
patch_11_16.tif,field,field,76.78%,True
patch_11_17.tif,field,field,59.96%,True
patch_11_18.tif,field,field,91.28%,True
patch_11_19.tif,field,field,79.76%,True
patch_11_20.tif,field,field,83.70%,True
patch_11_21.tif,field,field,93.34%,True
patch_11_22.tif,field,field,83.35%,True
patch_11_23.tif,field,field,68.57%,True
patch_11_24.tif,field,field,79.28%,True
patch_11_25.tif,field,field,90.44%,True
patch_11_26.tif,field,non_field,61.17%,False
patch_11_27.tif,field,field,61.85%,True
patch_11_28.tif,field,field,81.91%,True
patch_11_29.tif,field,non_field,86.99%,False
patch_11_3.tif,field,non_field,95.21%,False
patch_11_30.tif,field,field,56.22%,True
patch_11_31.tif,field,field,79.98%,True
patch_11_32.tif,field,field,59.05%,True
patch_11_33.tif,field,field,65.25%,True
patch_11_34.tif,field,field,80.47%,True
patch_11_35.tif,field,field,56.07%,True
patch_11_36.tif,field,field,93.82%,True
patch_11_37.tif,field,field,93.17%,True
patch_11_38.tif,field,field,62.08%,True
patch_11_39.tif,field,field,91.17%,True
patch_11_40.tif,field,non_field,53.31%,False
patch_11_41.tif,field,non_field,67.23%,False
patch_11_42.tif,field,field,73.09%,True
patch_11_43.tif,field,non_field,64.69%,False
patch_11_44.tif,field,non_field,70.65%,False
patch_11_45.tif,field,field,62.15%,True
patch_11_46.tif,field,non_field,63.85%,False
patch_11_47.tif,field,field,89.79%,True
patch_11_48.tif,field,field,83.67%,True
patch_11_49.tif,field,field,55.34%,True
patch_11_50.tif,field,field,85.40%,True
patch_12_10.tif,field,field,98.75%,True
patch_12_11.tif,field,field,96.79%,True
patch_12_12.tif,field,field,84.83%,True
patch_12_13.tif,field,field,83.10%,True
patch_12_14.tif,field,field,76.43%,True
patch_12_15.tif,field,field,65.56%,True
patch_12_16.tif,field,field,75.45%,True
patch_12_17.tif,field,field,77.61%,True
patch_12_18.tif,field,field,64.41%,True
patch_12_19.tif,field,field,51.84%,True
patch_12_2.tif,field,field,62.29%,True
patch_12_20.tif,field,field,58.37%,True
patch_12_21.tif,field,non_field,54.04%,False
patch_12_22.tif,field,field,70.51%,True
patch_12_23.tif,field,field,53.79%,True
patch_12_24.tif,field,non_field,78.01%,False
patch_12_25.tif,field,non_field,55.97%,False
patch_12_26.tif,field,field,57.70%,True
patch_12_27.tif,field,field,63.30%,True
patch_12_28.tif,field,field,58.33%,True
patch_12_29.tif,field,non_field,80.43%,False
patch_12_30.tif,field,non_field,63.70%,False
patch_12_31.tif,field,field,55.33%,True
patch_12_32.tif,field,field,73.38%,True
patch_12_33.tif,field,field,60.99%,True
patch_12_34.tif,field,field,82.55%,True
patch_12_35.tif,field,field,84.38%,True
patch_12_36.tif,field,field,91.11%,True
patch_12_37.tif,field,field,52.85%,True
patch_12_38.tif,field,field,78.23%,True
patch_12_39.tif,field,field,89.11%,True
patch_12_40.tif,field,non_field,74.83%,False
patch_12_41.tif,field,field,69.49%,True
patch_12_42.tif,field,non_field,52.73%,False
patch_12_43.tif,field,field,58.24%,True
patch_12_44.tif,field,field,58.69%,True
patch_12_45.tif,field,field,76.32%,True
patch_12_46.tif,field,field,68.98%,True
patch_12_47.tif,field,field,50.26%,True
patch_12_48.tif,field,non_field,61.79%,False
patch_12_49.tif,field,field,79.70%,True
patch_12_50.tif,field,field,50.41%,True
patch_12_9.tif,field,field,62.44%,True
patch_13_10.tif,field,field,95.55%,True
patch_13_11.tif,field,field,96.89%,True
patch_13_12.tif,field,field,84.03%,True
patch_13_13.tif,field,field,87.68%,True
patch_13_14.tif,field,field,54.48%,True
patch_13_15.tif,field,field,79.17%,True
patch_13_16.tif,field,field,92.19%,True
patch_13_17.tif,field,non_field,64.19%,False
patch_13_18.tif,field,field,54.96%,True
patch_13_19.tif,field,field,90.20%,True
patch_13_20.tif,field,non_field,76.41%,False
patch_13_21.tif,field,field,74.82%,True
